epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,5521.55,0.53872,0.39023,0.82902,0.99942,1,0.995,0.942,0.35172,0.30467,0.77221,0.0006932,0.0006932,0.0006932
24,34943.4,0.44397,0.37675,0.83704,0.99942,1,0.995,0.95766,0.33769,0.30751,0.77774,0.0010892,0.0010892,0.0010892
35,5727.9,0.52095,0.37974,0.82151,0.9994,1,0.995,0.94245,0.33309,0.29499,0.77128,0.0006536,0.0006536,0.0006536
36,5931.65,0.51682,0.38274,0.82664,0.99942,1,0.995,0.94619,0.36426,0.31743,0.77134,0.000614,0.000614,0.000614
25,35321.3,0.46484,0.38467,0.83716,0.99942,1,0.995,0.94958,0.30552,0.28251,0.77587,0.0010496,0.0010496,0.0010496
37,6128.24,0.51352,0.38401,0.82433,0.99933,1,0.995,0.95262,0.33655,0.30755,0.76823,0.0005744,0.0005744,0.0005744
38,6330.75,0.50235,0.38136,0.82712,0.99938,1,0.995,0.95113,0.30764,0.29314,0.76714,0.0005348,0.0005348,0.0005348
26,35698,0.43211,0.3542,0.83186,0.9994,1,0.995,0.977,0.26583,0.26417,0.77249,0.00101,0.00101,0.00101
39,6543.66,0.47694,0.36193,0.82272,0.99938,1,0.995,0.96141,0.31436,0.29215,0.76638,0.0004952,0.0004952,0.0004952
40,6759.63,0.48538,0.36703,0.82652,0.9993,1,0.995,0.95586,0.31259,0.29362,0.7666,0.0004556,0.0004556,0.0004556
27,36103.1,0.41041,0.34187,0.83635,0.99944,1,0.995,0.96728,0.27033,0.2677,0.77345,0.0009704,0.0009704,0.0009704
41,6964.67,0.38824,0.33361,0.78111,0.9992,1,0.995,0.94516,0.33118,0.30562,0.76831,0.000416,0.000416,0.000416
42,7180.31,0.38813,0.32622,0.79095,0.99932,1,0.995,0.9588,0.31791,0.2963,0.76978,0.0003764,0.0003764,0.0003764
28,36507.7,0.40317,0.33523,0.83481,0.99933,1,0.995,0.9507,0.30002,0.27127,0.77256,0.0009308,0.0009308,0.0009308
43,7374.57,0.38482,0.32919,0.78029,0.99941,1,0.995,0.95867,0.3202,0.30526,0.76764,0.0003368,0.0003368,0.0003368
44,7579.82,0.39165,0.32121,0.78414,0.99938,1,0.995,0.95128,0.32196,0.29368,0.76852,0.0002972,0.0002972,0.0002972
29,36878.4,0.41301,0.33054,0.83008,0.99938,1,0.995,0.95611,0.32714,0.26122,0.77449,0.0008912,0.0008912,0.0008912
45,7777.73,0.35936,0.30511,0.78479,0.9994,1,0.995,0.96493,0.30251,0.27342,0.76592,0.0002576,0.0002576,0.0002576
30,37245.1,0.39266,0.31821,0.82727,0.99943,1,0.995,0.97576,0.23653,0.23319,0.76805,0.0008516,0.0008516,0.0008516
46,7964.17,0.35286,0.29386,0.77489,0.99943,1,0.995,0.96114,0.30026,0.26637,0.76736,0.000218,0.000218,0.000218
47,8187.11,0.35755,0.2953,0.78527,0.99941,1,0.995,0.96625,0.28864,0.26389,0.7648,0.0001784,0.0001784,0.0001784
31,37667.7,0.37286,0.31308,0.82424,0.9994,1,0.995,0.97676,0.24846,0.2373,0.76956,0.000812,0.000812,0.000812
48,8428.1,0.35008,0.29591,0.77264,0.99941,1,0.995,0.97536,0.27951,0.26211,0.76379,0.0001388,0.0001388,0.0001388
49,8658.22,0.32665,0.28211,0.77045,0.99941,1,0.995,0.97545,0.27677,0.25936,0.76365,9.92e-05,9.92e-05,9.92e-05
32,38142.6,0.39098,0.31141,0.83238,0.99942,1,0.995,0.96513,0.25955,0.2395,0.77006,0.0007724,0.0007724,0.0007724
50,8897.99,0.32775,0.2802,0.7767,0.99942,1,0.995,0.97483,0.25967,0.2542,0.76299,5.96e-05,5.96e-05,5.96e-05
33,38547.7,0.36344,0.30221,0.82991,0.99936,1,0.995,0.98588,0.23391,0.21779,0.77101,0.0007328,0.0007328,0.0007328
34,38918.3,0.35885,0.30582,0.82058,0.99934,1,0.995,0.96585,0.25995,0.23496,0.77042,0.0006932,0.0006932,0.0006932
35,39303.3,0.358,0.3041,0.82736,0.99931,1,0.995,0.97709,0.24216,0.24152,0.76636,0.0006536,0.0006536,0.0006536
36,39741.7,0.35986,0.30357,0.83247,0.99928,1,0.995,0.98356,0.22617,0.22703,0.76868,0.000614,0.000614,0.000614
37,40334.7,0.34841,0.29375,0.82425,0.99923,1,0.995,0.98154,0.2358,0.22817,0.76478,0.0005744,0.0005744,0.0005744
38,41026.2,0.34226,0.2881,0.82586,0.99938,1,0.995,0.984,0.22738,0.21766,0.76517,0.0005348,0.0005348,0.0005348
